1463609683550384132,TechNewsClub,1637804715,2 Stocks Warren Buffett and Li Lu Agree On $AAPLRead it here ,0,0,0
1463609760654106624,MacHashNews,1637804734,Ukraine arrests hackers behind Apple phishing schemes http://dlvr.it/SD7d4N $AAPL,0,0,0
1463609792761581575,CannabisCricket,1637804741,$AMD BREAKING OUT NHOD 157.30 NEXT 158.42$SPY $AAPL $TSLA $BBIG $EVGO  $FCEL  $LCID $PROG $RBLX $AMD $LGVN $BCTX,0,0,0
1463610195452514318,StckPro,1637804837,$AAPL $BAC $DJCO NEW ARTICLE : 2 Stocks Warren Buffett and Li Lu Agree On https://stck.pro/news/AAPL/18618094… Get all the latest $AAPL related news here : https://stck.pro/news/AAPL,0,0,0
1463610276301975553,Pat2DopeTho,1637804857,I bought some $aapl,0,0,0
1463610624722841602,c2412345,1637804940,Big volume spikes/block trades on $BB BlackBerry... patent sale/partnership news coming? $SPY $QQQ $IWM $AAPL $AMZN $GOOG $MSFT $FB $AMC $GME $CLOV $WISH $TSLA $NIO $BTC $MARA $RIOT $SAVA $SOFI $NVDA $AMD $BABA $CGC $TLRY $LVGN,1,0,1
1463611088323461131,PocketsAbyss,1637805050,Reverse cup and handle in $AAPL on this annoyingly indecisive day,0,0,0
1463611170804355074,algobotnews,1637805070,"#SocialStocks: U.S., EU ramp up antitrust rhetoric$AAPL $GOOGL $GOOG $AMZN $FB $MVRS $MSFT $BABA $BKNG $TWTR $WMT",0,1,0
1463611253742579716,vtmtrading,1637805090,"#SocialStocks: U.S., EU ramp up antitrust rhetoric$AAPL $GOOGL $GOOG $AMZN $FB $MVRS $MSFT $BABA $BKNG $TWTR $WMT",0,0,0
1463611300756529158,Ktr8der,1637805101,Two of my favorite symbols plus a great deal ftw .$AAPL $COST #AirPodsPro,0,0,1
1463611617422286851,DevonLacy,1637805176,$AAPL ripping into the close,0,0,0
1463611872452784133,DividendJames,1637805237,$AAPL for me  or $O that would take in some serious monthly dividends,1,0,2
1463612043861311498,d_pavlos,1637805278,$AAPL 15 min chartNew HOD,0,1,12
1463612129898995716,mrjosshua,1637805299,$AAPL there she goes ,0,0,0
1463612591914164226,MarcJacksonLA,1637805409,$AAPL Apple Stock: iPhone Strength Has Become Consensus https://thestreet.com/apple/iphone/apple-stock-iphone-strength-has-become-consensus… via @@sellsider,0,0,0
1463612634985545737,SwatOptions,1637805419,$AAPL C162.5 now at 0.8 vs 0.34-0.35... trim and trail...congrats longs,0,0,0
1463612660243648521,SergDJB,1637805425,$NVDA for next week$AMD $SPY $AAPL $NFLX $QQQ $FB $AMC $TSLA $DIS $ATVI $POOL $X $GME $NVDA $HOOD $MSFT $NIO $FUBO $MRNA,0,0,1
1463612737683030017,Bestscrt,1637805443,@CNBC @michaelsantoli JPM did the same supply check on $aapl only a few days ago -reported lead times are less - @munster_gene good long term bull but respectfully it’s conflicting -all noise - trader or investor - technicals show 175+ by year end,1,0,0
1463612803504291851,bthefirsttoknow,1637805459,"First out// $AAPL: Stocks Mark New Session Highs Mins. Before Close; S&P 500 Futures Mark New Session High At 4,700.75; Apple Shares Up 0.3%, Briefly Touch Over $162",1,0,0
1463612984404676619,AladinTrade,1637805502,The bears wanted to go short on $aapl ..,0,0,0
1463613426610184196,wealth_trail,1637805608,Are there any stocks that pay a dividend and are still looking for growth?Microsoft $MSFTApple $AAPL2 huge companies that continue to grow but also pay a small dividend ,1,1,2
1463613614376509449,MarketRebels,1637805652,$AAPL finished up 0.33% to $161.94,0,4,34
1463613656562864146,me_invest_corp,1637805663,Most active after close: $NVDA : 2.37% $BAC : 0.01% $AMD : 3.12% $HPQ : 8.88% $WISH : 0.88% $JWN : -28.88% $F : 0.3% $AAPL : -0.09% $LCID : -3.2% $GPS : -22.42%,0,1,2
1463613656638361600,e_brah_heem,1637805663,Doesn’t matter looks like $aapl part 3 is gonna be crazy,0,1,0
1463613873085288453,GaaOptions,1637805714,11/24 RecapDay Trades$CAT 207.5c 1.25 to 1.8 (ran to 1.94)$AAPL 162.5c 0.82 Faked$SPY 467p 0.5 to 0.6 (fell after)Swing Trades$GME 225c 5.3 to 9$DAL 39p 0.28 to 0.4$SQ 215 12/3 4.3 ran to 7$XPEV callsKilled it on swings today!HAG THANKSGIVING!,0,0,24
1463613941595189249,MaximilienBaud,1637805730,$aapl duh,0,0,1
1463614284525490177,MacHashNews,1637805812,"Best Buy's Black Friday sale has big discounts on OLED TVs, soundbars & much more http://dlvr.it/SD7gDy $AAPL",0,0,0
1463615052829925387,BigCatTrading,1637805995,"Watchlist for 11/24(entry + MAX return):$RBLX:120c, 2.20-6.50(195%)$BA:210c, 1.60-2.40(50%)$AAPL:162.5c, 0.75-0.90(20%)$BNTX:no triggerAnother slowish day as expected for a holiday week. Still banked hard on $RBLX in @trussbustrading discord. Happy Thanksgiving everyone!",1,0,5
1463615306249965569,AAPLinsights,1637806056, Automated Hourly $AAPL  Sentiment Report ( / ) 1. Product Series Reviews:#iPhones 57/92#Mac #Macbook 50/84#iPad 67/60#AppleWatch 76/86#MacOS #iOS 30/23General #Apple Products 62/872. Company News: 133/1003. Social Media: 95/5511/24/2021 21:07 UTC,0,3,0
1463615570683695104,OptionsMir,1637806119,$AAPL and $NVDA finished at HOD.One's basically the market the other's the godfather of the leading market sector Happy Thanksgiving guys ,2,1,17
1463615649725534214,bocoyolo222,1637806138,All in on $AAPL,0,0,1
1463615714875617283,TraderMarcoCost,1637806153,$AAPL finished up 0.33% to $161.94. #Apple,0,0,0
1463615915602460684,bidonkules,1637806201,Never sell $AAPL you’ll regret it.,1,0,6
1463615940248150025,AladinTrade,1637806207,My “Monster”  arrived yesterday after 1 month of waiting. it was worth it. the battery never runs out. #apple #Iphone13ProMax $aapl strong!!!,0,0,0
1463616074671345667,eli_bartel,1637806239,@ProphitcyTrades may be a small position but i was sure comfortable while playing Halo Infinite and seeing it sell off  gotta love $AAPL,0,0,1
1463616582576398341,Alpha_Bronze,1637806360,"S&P 500, Nasdaq eke out small gains as jump in Treasury yields cools!$MSFT $AAPL $GOOGL $AMZN $CMCSA $CRM $AMD $MU $QCOM $NVDA $TXN $FB $NFLX $HD $JNJ $PFE $ABBV $LLY $GILD $MRK $AMGN $CVS $TSLA $DIS $PYPL $CSCO $INTC $ORCL $XOM $GS $PG $WMT $SBUX",0,2,2
1463616795399622658,MrStockGuyNJ,1637806411,"Just ordered 4 new apple products for the family for this Xmas, sure many are doing the same around the world. $AAPL will be a 4T company in the not so distant future.",0,0,3
1463616959963176970,GrumpySpecul8or,1637806450,"Up 1.20%. Top $PLTR, $AAPL and $TSLA.All green but $COIN.Added to $ABNB at the 50 MA.Happy Thanksgiving! ",0,1,2
1463617006360432641,Bestscrt,1637806461,@munster_gene trying to get attention by making bold or contrarian calls eventually leads to lost credibility - @michaelsantoli should have asked about recent JPM conflicting check on $aapl supply- best to stick to what works-avoid noise,0,0,0
