1463297146485153798,StockMKTNewz,1637730201,Most active stocks in today's after-hours tradingIntel $INTCComcast $CMCSAAT&T $TMicrosoft $MSFTCisco $CSCOVerizon $VZExxon $XOMBank of America $BAC$EBAYPfizer $PFEHP $HPQWalmart $WMT$AMDBristol Myers $BMYDiscovery $DISCAPhilip Morris $PMMondelez $MDLZ$KMI,2,2,30
1463300275125555208,sleekoptions,1637730947,$INTC Was up 1.24 %. Turned negative -1.34% | (Green to red move) #GreenToRed https://sleekoptions.com/sleekscan.aspx?sub1=dscan&type=greentoredDaily…,0,0,0
1463311411229212674,shortvolumes,1637733602,Short sale volume (not short interest) for $HPQ at 2021-11-22 is 63%. http://shortvolumes.com/?t=HPQ $MSFT 49% $AAPL 46% $INTC 38% $CSCO 52%,0,0,0
1463314317286297601,EagleInvestor3,1637734294,"$INTC   For a limited time, we are opening our trading chatroom to the public. Get  access to chatrooms, stock alerts, option alerts, portfolios, and more,.....    http://discord.gg/3upj3K7Kuk",0,0,0
1463318671367958531,JordanJamesEtem,1637735333,"Provisions, N.P.: NEHRP Recommended Provisions for Seismic Regulations for New Buildings and Other Structures (FEMA 450). Building Seismic Safety Council, National Institute of Building Sciences, Washington, p. 338 (2003)$JPM $INTC $AMD $ACN $DELL $TSLA $BTC",1,0,0
1463318803685724164,TricktradesA,1637735364,"Basket of stocks for Tuesday, November 23, 2021$SPY $AAPL $AMD $INTC $DIS $BABAhttp://tricktrades.com",0,0,2
1463326384156078083,traders_alex,1637737171,$INTC Real price will come out soon; Follow price targets https://discord.gg/DpDYSUX,0,0,0
1463330495970918402,EarlyBirdOption,1637738152,$XPEV ran over 100% from our watchlist entry in less than half an hour! $SPY $QQQ $IWM $TSLA $AAPL $MSFT $AMD $NVDA $INTC $MU $GE $LCID $RIVN $ZM $SQ $ROKU $TDOC $PLTR $FUBO $CRWD $SE $SHOP $AMZN,0,0,0
1463347927674494979,earningsflyinc,1637742308,Top 15 Artificial Intelligence stocks with market cap over 1 billion today.  https://tradeideashq.com/stocks/dao?source=twitter-bot…$DAO $AMZN $GOOG $MSFT $NVDA $DDOG $AI $FB $LPSN $DT $INTC $TWLO $CRM $HCAT $VERI,0,2,2
1463348592563798018,IrvingSoh,1637742466,*looks around hesitantly* $intc?,0,0,1
1463350445527678982,earningsflyinc,1637742908,Top 15 Artificial Intelligence stocks with market cap over 1 billion in 60 days.  https://tradeideashq.com/stocks/tsla?source=twitter-bot…$TSLA $DAO $NVDA $DDOG $VERI $SNOW $MSFT $CRM $AMZN $GOOG $DT $INTC $UPST $S $FB,0,2,2
1463362743164043266,StewarT36463950,1637745840,82% Win Rate  What are you waiting for ! Visit Our community $NAKD $TSLA $AAPL $NIO $SPY $INTC $GE $SNDL $NXTD $XELA $RIDE $MREO $ZOM$FCEL$FEYE $GALA$AAL $PLTR $CCL,0,0,0
1463367448191586312,JimmyDaGreek76,1637746962,Yeah. Check out http://techstocks.com and pull up some of the threads in $CMGI $ICGX $DELL $CSCO $INTC. Full of FOMO but no one  knew it ATM,0,0,1
1463367885196120068,dnystedt,1637747066,"Intel has contracted TSMC for more chip production, including 6nm GPUs, 7nm Xe-Link and 5nm HPC tiles by the end of this year and 3nm GPU tiles by the end of 2022, media report. $INTC $TSM #semiconductors",0,0,21
1463368280123449345,UnrivaledInvest,1637747160,"$INTC is a fascinating set-up, not surprising to see deep value guys like Klarman & Price make big bets. 10x earnings, insider buying & management guiding to a significant reacceleration in growth (10-12% annualized)....",1,0,4
1463375011742306310,newsfilterio,1637748765,AMD: Still The Datacenter King $AMD $INTC https://newsfilter.io/articles/amd-still-the-datacenter-king-0262c82853981e8cf322e733d47d21ae…,0,0,0
1463375545647779845,LusheMartine,1637748892,"$INTC  ""REAL PRICE"" will come out soon! For a limited time, we are opening our trading chatroom to the public,;..... http://discord.io/RqaGeAEz6U",0,0,0
1463377931862896652,BreakoutStocks,1637749461,"$SPY, $INTC, $EWZ, $NKLA, $EFA, $MGM breaking down to new lows https://topbreakoutstocks.com/low",0,0,0
1463390226127065090,JordanJamesEtem,1637752393,"De Groot, S.R.: Thermodynamics of Irreversible Processes (1951) #Adaptive #Insights #Process $TSLA $INTC $AMD $MSFT $BAC $JPM $FB $DELL $ORCL",1,0,0
1463400830686613508,dabass369,1637754921,Long: $MU $TSM $INTC $NIO $LI $FSLR $TSLA Long: $AAL $UAL $LUV $CCL $NCLH $RCLThose semis and all reopening are cheap cheap optionsEV as a trend trade,1,0,2
1463404699135221761,newsfilterio,1637755843,Investors are going wild over a Dutch chip firm. And you've probably never heard of it $INTC $ASML-NL $2330-TW $undefined $AAPL https://newsfilter.io/articles/investors-are-going-wild-over-a-dutch-chip-firm-and-youve-probably-never-heard-of-it-824e63cd009bbd08e32f2672405b0b1c…,0,0,0
1463408938225782785,shortalgotrader,1637756854,$INTCWaiting for buy signalhttp://shortalgo.com/?affiliate_id=GreenMoneyMachine5…,0,0,0
1463421797043359746,JordanJamesEtem,1637759920,"There simply can't be a disconnect between state and community, between market and community, for enlightenment to be realized. For people to matter. #Reasoning #Insight #Wisdom #USA #Community$TSLA $DELL $AAPL $MSFT $ACN $FB $INTC $AMD $BTC $JPM $WFC $BAC $TWTR $ORCL",1,0,0
1463425291838128130,JAMESCA55834754,1637760753,"$INTCMost winning chat; come out soon, and most profit again.http://discord.io/WinningLiveTrade…",0,0,0
1463430174649860096,AlertTrade,1637761917,㋡ GOOD QUESTION!!  ↳ Why are you paying to be in a Trading Room?FREE Trading Room via  http://AlertTrade.us#TradingRoom #buythedip #Nasdaq #sharemarket #Stocks #investing #StocksToWatch #StocksToBuy$DIDI $AAPL $TSLA $TLRY $PLUG $NIO $SKLZ $SOFI $INTC $HPQ,0,1,1
1463447635784871943,fibovi4,1637766080,~When I was novice I made a lot of mistakes then I came to know about this C0mmunity. http://discord.gg/QWDHnF5cdU$rblx $rivn $hyg $sofi $bby $dnn $intc $tsla $nok,0,0,0
